"Time [ms]","Force1.Force_x [newton]","Force1.Force_y [newton]"
0,-0.459518699969668,-721.859222030313
0.53975,-518.188821128235,-584.186282431599
1.0795,-818.64825882556,-367.569237107608
1.61925,-989.651854703381,-149.51875687265
2.159,-1077.4132737395,57.6993350174861
2.69875,-1103.39408013844,242.638398018737
3.2385,-1079.98608954267,401.737868508303
3.77825,-1020.35154130841,527.21398030175
4.318,-937.635287132454,613.174603436401
4.85775,-848.237252755813,660.201022896832
5.3975,-765.343736488662,675.413560657257
5.93725,-693.984947065637,666.407126897789
6.477,-641.093036168184,639.636323479704
7.01675,-605.749204733987,603.987451224487
7.5565,-586.698044534838,569.656072689211
8.09625,-580.978006887553,534.549874670626
8.636,-585.271846976145,505.588341784933
9.17575,-597.125469206899,483.405370146347
9.7155,-611.478696889563,467.018881009632
10.25525,-627.67570627662,458.532398671869
10.795,-642.770573091602,456.086762905343
11.33475,-654.88678102461,458.624536568282
11.8745,-664.727310111023,461.706416698978
12.41425,-671.38168218771,466.538245730036
12.954,-674.794104635033,476.399446285046
13.49375,-675.609280602435,482.602485639591
14.0335,-674.414953404696,487.969583895309
14.57325,-672.837848224775,492.101927166062
15.113,-669.786387960565,494.267792381531
15.65275,-666.863236455417,494.80741191314
16.1925,-665.153015523564,495.300613765035
16.73225,-661.98070000688,495.849167259012
17.272,-660.625638869288,494.288967575849
17.81175,-659.616268776278,492.078568407511
18.3515,-659.107318202928,493.324739638608
18.89125,-658.795570975021,491.692429855736
19.431,-658.587493422259,491.068548903198
19.97075,-659.375840704795,490.554980342202
20.5105,-659.18746559189,488.75564232982
21.05025,-659.961103713313,488.282627873426
21.59,-660.651698014846,488.314094784985
22.12975,-660.653370798563,489.167601133784
22.6695,-661.278714210374,487.759409463869
23.20925,-661.771608470617,486.610909921443
23.749,-661.845858381696,490.098424066336
24.28875,-661.68865018055,490.298985262245
24.8285,-661.300985760209,490.585971537795
25.36825,-661.705185262519,490.837189374046
25.908,-661.253997157561,490.38982879343
26.44775,-661.089542737522,489.495546109763
26.9875,-661.951618531207,489.540459577173
27.52725,-660.949570940003,490.389164317967
28.067,-661.242267791183,489.630465265647
28.60675,-661.335068599424,488.488699481309
29.1465,-661.422495845396,490.87508295548
29.68625,-661.284988176889,490.316265205946
30.226,-660.9329539316,490.600692071452
30.76575,-661.367187063235,490.781243209751
31.3055,-660.71369786482,489.449038273328
31.84525,-660.99415175363,489.232791503434
32.385,-661.224195726694,489.344478201717
32.92475,-660.837941753041,490.1443309125
33.4645,-661.168543830125,488.59254026618
34.00425,-661.46437115372,487.252891956702
34.544,-661.431790930775,490.536650757436
35.08375,-661.243396757534,490.545272977996
35.6235,-660.881458505604,490.669767804828
36.16325,-661.348985209094,490.796809760524
36.703,-660.980955032752,490.265819097083
37.24275,-660.904749919534,489.32563580696
37.7824999999999,-661.849122415841,489.356184340345
38.3222499999999,-660.916517118007,490.214474231601
38.8619999999999,-661.261942679648,489.481404804535
39.4017499999999,-661.39001836706,488.373820003102
39.9414999999999,-661.496539875816,490.796677161279
40.4812499999999,-661.364619641559,490.272204503361
41.0209999999999,-661.007990258643,490.585694397206
41.5607499999999,-661.430902410378,490.7884574596
42.1004999999999,-660.762537924622,489.47120517033
42.6402499999999,-661.027215687459,489.263180631247
43.18,-661.185122541978,489.515200311521
